id,w_eng,w_info,w_prot,w_cost,res,riskD
0,0.41661987254534116,0.010169169457068361,0.8252065092537432,0.2986398551995928,6,0.9317846908693116
1,0.27024484102434043,0.43622841061419115,0.3730638408978796,0.874174337334456,5,0.5620784880758429
2,0.1743435607237318,0.5532210855693298,0.35490138633659873,0.9580647850995486,2,0.5310427544909715
3,0.7353905023047282,0.5850522257680846,0.16657289227952188,0.205714186422282,2,0.18997137872182035
4,0.34156042577355217,0.02352121814220054,0.3395177723979207,0.9674824588798714,7,0.0034546107550955663
5,0.9402385030977428,0.8707669687554763,0.7708343385168108,0.17887376462351512,2,0.652540306855235
6,0.10589310441565858,0.6814129097617121,0.18165372860865447,0.3750023784683726,9,0.5959983222885908
7,0.9131342010560181,0.32989278292003665,0.04025101089707095,0.11980228776626256,8,0.21638043029004472
8,0.8018992376033143,0.5550852989383774,0.18582835985521595,0.588608618331516,9,0.916028685559798
9,0.1298690441365481,0.9797777396748831,0.30132668452927946,0.8645510213986403,1,0.15027246598161914
10,0.22911297045444934,0.5391382749525224,0.15698083032677357,0.32376072565348557,1,0.06088994973657491
11,0.44511376379849565,0.3881004452303368,0.7990776070994872,0.1794848351838355,1,0.772405890467276
12,0.3677523003172184,0.6787061729470147,0.7612587669603891,0.4807762549955329,1,0.013817747131764424
13,0.4917907813620629,0.7719878823316773,0.9660621838333342,0.9226041730681864,9,0.2015946162066391
14,0.7688563664469605,0.6985618555499734,0.5565629985158106,0.08004627745518866,3,0.8925049451536087
15,0.3355556892651508,0.2032522273327636,0.16275546914559358,0.15014453632474334,2,0.5196133382299564
16,0.0033318113277969186,0.0031849641925417727,0.49606648747577575,0.1848544913177429,10,0.9338090702776836
17,0.8506113595953082,0.2642786838499246,0.750023345694975,0.06611648045817964,8,0.4167182086552499
18,0.2432677814285058,0.8784733651900372,0.027275714076411717,0.33046584707469195,7,0.17785231156635184
19,0.57164355128955,0.8234766164292862,0.893329935140465,0.9601802856717311,9,0.6918833063358997
20,0.32496403247226413,0.06770597877904316,0.4605030472842221,0.19506448230254514,10,0.571234890832673
21,0.7491495246814619,0.5309622726884567,0.23324027903592626,0.567864010425696,3,0.5382589512342858
22,0.6933819932593647,0.6709971196314991,0.7983939428568075,0.2599361596793658,7,0.04404001954168291
23,0.799229633187406,0.5359018636796344,0.1075663911498207,0.7588273142870813,3,0.3712173467900003
